subject_id,condition,phase,node_l,node_r,trial_timestamp,response_timestamp,response_delay,rot,response_key,response,accuracy
0927,Interleaved,Study,6,9,0.06056487500006824,0.8902852920000441,0.8297204169999759,0,a,0,0
0927,Interleaved,Study,1,2,3.6462955420000753,4.736251250000009,1.089955707999934,0,a,0,0
0927,Interleaved,Study,3,6,7.252637292000031,7.5791404579999835,0.3265031659999522,0,a,0,0
0927,Interleaved,Study,9,8,10.855534000000034,11.311103917000082,0.455569917000048,1,a,0,1
0927,Interleaved,Study,3,4,14.45934683300004,15.270906416999992,0.8115595839999514,-1,s,1,0
0927,Interleaved,Study,6,7,18.090855917,18.869745542000032,0.7788896250000334,0,a,0,0
0927,Interleaved,Study,3,11,21.674885500000073,22.265570792000062,0.5906852919999892,-1,s,1,0
0927,Interleaved,Study,6,7,25.30525904199999,26.179590542000028,0.8743315000000393,-1,s,1,0
0927,Interleaved,Study,1,2,28.890919457999985,29.72036945800005,0.8294500000000653,0,a,0,0
0927,Interleaved,Study,9,8,32.494530833,33.208551833,0.7140210000000025,0,a,0,0
0927,Interleaved,Study,11,9,36.098772457999985,36.738273708000065,0.6395012500000803,-1,s,1,0
0927,Interleaved,Study,8,10,39.71159279200003,40.847300958000005,1.1357081659999722,0,a,0,0
0927,Interleaved,Study,7,8,43.31950487500001,44.519997042,1.200492166999993,0,a,0,0
0927,Interleaved,Study,1,2,46.90614395800003,47.51809433300002,0.6119503749999922,0,s,1,1
0927,Interleaved,Study,2,4,50.51176370799999,51.25788495800009,0.7461212500001011,0,s,1,1
0927,Interleaved,Study,11,9,54.11679708300005,54.82192537499998,0.7051282919999267,0,s,1,1
0927,Interleaved,Study,9,10,57.721639708,58.40976362499998,0.6881239169999844,0,s,1,1
0927,Interleaved,Study,7,8,61.33086483300008,62.30957270800002,0.9787078749999409,0,s,1,1
0927,Interleaved,Study,2,4,64.93769545800001,65.69661025000005,0.7589147920000414,0,s,1,1
0927,Interleaved,Study,6,9,68.56685104200005,69.30952304200002,0.7426719999999705,0,s,1,1
0927,Interleaved,Study,8,10,72.17720733300007,72.99646604200007,0.8192587089999961,0,s,1,1
0927,Interleaved,Study,2,4,75.78416820799998,76.50635912500002,0.7221909170000345,0,s,1,1
0927,Interleaved,Study,8,10,79.36939366700005,80.07713779200003,0.7077441249999765,0,s,1,1
0927,Interleaved,Study,3,6,82.97823808300006,83.55812737500003,0.5798892919999616,0,s,1,1
0927,Interleaved,Study,12,11,86.56481437500008,87.13100316700002,0.5661887919999344,-1,s,1,0
0927,Interleaved,Study,6,9,90.19448833299998,91.284747917,1.090259584000023,0,s,1,1
0927,Interleaved,Study,3,6,93.80424704200004,94.71584441700008,0.9115973750000421,0,s,1,1
0927,Interleaved,Study,6,9,97.43443970800001,98.07412062499998,0.6396809169999642,1,a,0,1
0927,Interleaved,Study,12,11,101.02203025000006,-1,-102.02203025000006,1,-1,-1,0
0927,Interleaved,Study,3,6,107.643984875,108.10542908299999,0.461444207999989,0,s,1,1
0927,Interleaved,Study,3,11,111.25863183299998,111.59044275000008,0.331810917000098,0,s,1,1
0927,Interleaved,Study,6,7,114.89235037499998,115.31523770800004,0.4228873330000624,-1,s,1,0
0927,Interleaved,Study,9,10,118.49954183300008,118.84713183300005,0.3475899999999683,0,a,0,0
0927,Interleaved,Study,3,4,122.10919320800008,122.45501854200006,0.34582533399998283,0,s,1,1
0927,Interleaved,Study,6,7,125.74486312500005,126.22885654200002,0.4839934169999651,1,s,1,0
0927,Interleaved,Study,9,10,129.352659958,129.90968820800003,0.5570282500000303,0,s,1,1
0927,Interleaved,Study,8,10,132.94124458300007,133.31970250000006,0.37845791699999154,-1,s,1,0
0927,Interleaved,Study,9,10,136.548817042,137.06939612500003,0.5205790830000296,0,s,1,1
0927,Interleaved,Study,3,4,140.15761433300008,140.51196979200006,0.3543554589999758,0,s,1,1
0927,Interleaved,Study,12,4,143.76708737500007,144.124478125,0.35739074999992226,1,s,1,0
0927,Interleaved,Study,2,4,147.37667604199999,147.89631658300004,0.519640541000058,0,s,1,1
0927,Interleaved,Study,7,8,150.99164166700007,151.55247025000006,0.5608285829999886,0,s,1,1
0927,Interleaved,Study,9,8,154.62500091700008,155.05402308300006,0.42902216599998155,1,s,1,0
0927,Interleaved,Study,2,3,158.21543233300008,158.62984029200004,0.4144079589999592,0,a,0,0
0927,Interleaved,Study,11,9,161.82611187499992,162.28684312500013,0.4607312500002081,1,s,1,0
0927,Interleaved,Study,8,10,165.41607766700008,165.813046042,0.3969683749999149,0,a,0,0
0927,Interleaved,Study,7,8,169.03025083300008,169.37862470799996,0.34837387499987926,0,s,1,1
0927,Interleaved,Study,12,4,172.64084404200003,173.36380466700007,0.7229606250000415,0,s,1,1
0927,Interleaved,Study,9,10,176.2503253750001,176.834276542,0.5839511669998956,1,a,0,1
0927,Interleaved,Study,12,11,179.84187758300004,180.27436208300014,0.4324845000001005,0,a,0,0
0927,Interleaved,Study,3,4,183.45290912500013,183.94410333299993,0.4911942079997971,0,a,0,0
0927,Interleaved,Study,6,7,187.11867320800002,187.46236520799994,0.34369199999991906,0,s,1,1
0927,Interleaved,Study,12,11,190.7097496670001,191.03817166700014,0.32842200000004595,0,s,1,1
0927,Interleaved,Study,12,4,194.32247229199993,194.66408491700008,0.34161262500015255,-1,s,1,0
0927,Interleaved,Study,2,3,197.91448704200002,198.40199133300007,0.4875042910000502,0,s,1,1
0927,Interleaved,Study,5,4,201.53054916700012,201.97776895800007,0.44721979099995224,0,s,1,1
